145|Homenaje a Domingo Candia||Kasem, Salvador|Argentina|Piedra|145.jpg|Peatonal Juan D. Perón 99|-27.451921,-58.989061||||
146|Castigo|0-0-1961|Knopp, Naum|Argentina|Cemento|146.jpg|Juan D. Perón 123|-27.45173,-58.98937||||
147|Pareja en primavera|7-6-1981|Knopp, Naum|Argentina|Bronce|147.jpg|Pellegrini 219|-27.450978,-58.982844||||
148|Cosmogonía del agua|16-6-1969|Kósice, Gyula|Argentina|Acrílico|148.jpg|Arturo Illía 26 - Edificio Olivetti|-27.453099,-58.988053||||
149|Pas de deux|26-6-1999|Kuhnapfel, Thomas|Alemania|Metal|149.jpg|Av. De los Inmigrantes 1001 - Museum|-27.437979,-58.981014|Segundo premio - Primera Bienal Internacional de Escultura|||
150|Hipopótamo||Labourdette, Juan Carlos|Argentina|Granito|150.jpg|Av. Alberdi 201|-27.452839,-58.988273||||
151|Visión|4-7-1997|Lebrato, Aurelio|Uruguay|Mármol travertino|151.jpg|Entre Ríos 333|-27.445513,-58.985948||||
152|Tranquilidad|22-2-1962|Leguizamón Pondal, Gonzalo|Argentina|Mármol|152.jpg|Peatonal Arturo Illía 200|-27.4541579706238,-58.98651301860809|Primer Premio Salón Nacional 1918|||
153|Flor indígena|0-0-1978|Leguizamón Pondal, Gonzalo|Argentina|Cemento|153.jpg|Av. Sarmiento 800 al 900|-27.444811,-58.979494||||
154|Ondina del barroco||Lewy, Aroldo|Argentina|Bronce|154.jpg|Av. Sarmiento 284|-27.449002,-58.983895||||
155|Metamorfosis||Locasso, Rubén|Argentina|Cemento|155.jpg|Pueyrredón 2|-27.449519,-58.988144||||
156|Competencia|6-11-2013|Manuel Benitez|Argemtina|Madera|156.jpg|Av. Italia 1146|-27.446072343378955,-58.972012996673584||||
157|Pareja|0-0-1990|Macchi, Aurelio|Argentina|Bronce|157.jpg|Cordoba 766|-27.45090189293449,-58.974558832123876||||
158|Cabeza de Aldo Moro|14-7-1961|Marchese, Víctor|Argentina|Cemento|158.jpg|Av. Alberdi 285 - Club Social|-27.453375,-58.988906||||
159|Cabeza de Lynch Arribálzaga|1-9-1956|Marchese, Víctor|Argentina|Cemento|159.jpg|Av. San Martin 0 al 100|-27.455334,-58.98253||||
160|Fernando|28-1-1956|Marchese, Víctor|Argentina|Cemento recubierto en mosaico|160.jpg|Brown 350 - El Fogón de los Arrieros|-27.452444,-58.981808||||
161|Fernando|28-5-1963|Marchese, Víctor|Argentina|Bronce|161.jpg|Mitre 1|-27.450152,-58.987407||||
162|Cabeza de Juan de Dios Mena|4-4-1964|Marchese, Víctor|Argentina|Bronce|162.jpg|Frondizi 99|-27.452708,-58.986417||||
163|Tupac Amaru||Marchese, Víctor|Argentina|Madera|163.jpg|Ruta Nacional 11, Km 1003,5 - Aeropuerto Internacional Resistencia|-27.444887,-59.048416||||
165|El Naguel||Marino, Ricardo|Desconocido|Cemento|165.jpg|Arturo Illía 901|-27.459906,-58.980041||||
166|Bordoneando, Tango||Mártire, Francisco|Desconocido|Granito reconstituído|166.jpg|Av. Sarmiento 100 al 200|-27.449947,-58.985188||||
167|Místico|24-7-1995|Medina Ayllón, Juan María|España|Madera de urunday|167.jpg|Frondizi 30 - Zan-En S.R.L.|-27.452178,-58.985861|Premio del Público y Escultores - Primer Concurso Internacional de Escultura en Madera|||
168|Jasmín|28-7-1999|Modi, Mónica|Argentina|Mármol travertino|168.jpg|Mitre 141|-27.449162,-58.986206||||
169|Maternidad|0-0-1978|Monti, Alfredo|Argentina|Cemento|169.jpg|Ameghino 356|-27.457036,-58.986899||||
170|Poetisa||Monti, Alfredo|Argentina|Cemento|170.jpg|Pellegrini 272|-27.450631,-58.982377||||
171|Alfredo Pértile|00-12-89|Monzón, Jorge|Argentina|Cemento|171.jpg|Marcelo T. De Alvear 488|-27.446594,-58.989727||||
172|López Piacentini||Monzón, Jorge|Argentina|Cemento|172.jpg|Pellegrini 211|-27.451047,-58.982903||||
174|Génesis del Chaco|1-10-1962|Monsegur, Raúl|Argentina|Pidra, cemento, acetato de polivinilo|174.jpg|Plaza 25 de Mayo|-27.451962,-58.986168||||
175|Lobo de mar|31-10-1962|Isella de Motteau, Luisa Isabel|Argentina|Bronce|175.jpg|Peatonal Arturo Illía 101|-27.453537,-58.987235||||
176|La espera|19-7-1998|Nardi, Rodolfo|Argentina|Mármol travertino y metal|176.jpg|Av. De los Inmigrantes 1001 - Museum|-27.437548,-58.981683|Gran Premio de Honor|||
177|Forma y seducción||Nardi, Rodolfo|Argentina|Madera|177.jpg|Juan D. Perón  352 - Hotel Marconi|-27.449780808852324,-58.9911425113678|Primer premio - Quinto Concurso Nacional de Escultura en Madera|||
178|Flor de la Puna||Nevot, Antonio Miguel|Argentina|Bronce|178.jpg|Arturo Illía 633|-27.457578,-58.982669||||
179|Torito espacial||Nieto, Héctor|Argentina|Piedra|179.jpg|Av. San Martin 465|-27.458602,-58.98599||||
180|Serenidad||Nistal, Yan|Desconocido|Cemento|180.jpg|PellegrinI 755|-27.446777,-58.9783||||
181|La noche||Oriana, Antonio|Argentina|Cemento|182.jpg|Brown 543|-27.453856,-58.979829||||
182|Guanta no más|0-04-1997|Pacheco Enciso, Juan Ernesto|Perú|Mármol travertino|183.jpg|San Buenaventura del Monte Alto 1380|-27.433106,-58.983821||||
183|Cabeza de mujer||Pagés, Mariano|Argentina|Piedra|184.jpg|Arturo Illía 43|-27.453073,-58.987857||||
184|El mito indígena del fuego||Paladino, Constante|Desconocido|Cemento|185.jpg|Plazoleta Aldo y Efraín Boglietti|-27.445427,-58.978324||||
186|Intitulada|29-11-1996|Peralta, Daniel|Israel|Madera|186.jpg|Plaza 25 de Mayo|||||
187|Cabeza de canto al sol o El Calchaqui|10-8-1961|Perlotti, Luis|Argentina|Piedra reconstituida|187.jpg|Av. Italia 150|-27.453915,-58.980792||||
188|San Martín|14-7-1961|Perlotti, Luis|Argentina|Bronce|188.jpg|Av. Alberdi 200 al 300|-27.453365,-58.989045||||
189|Domingo Faustino Sarmiento||Perlotti, Luis|Argentina|Bronce|189.jpg|Av. Sarmiento 100 al 200|-27.450235,-58.98551||||
190|Busto de Paula Albarracín|0-0-1961|Perlotti, Luis|Argentina|Bronce|190.jpg|Plaza 25 de Mayo|-27.450686,-58.985794||||
191|Yolanda P. De Elizondo|15-7-1994|Pérez Bartolomé, Aída|España|Bronce|191.jpg|Dónovan 433|-27.451387,-58.993637||||
192|Empuje|6-10-1963|Pettoruti, Emilio|Argentina|Mosaico veneciano|192.jpg|Marcelo T. De Alvear 145 - Casa de Gobierno|-27.449202,-58.987369||||
193|Torso|18-8-1961|Pinnisi, Manuel|Argentina|Piedra reconstituida|193.jpg|Pueyrredón 226|-27.447872,-58.98629||||
194|Vuelo del Espíritu|1-7-2002|Fabriciano|Argentina|Mármol travertino y chapa naval|194.jpg|Av. Sarmiento 100 al 200|-27.449797,-58.985017||||
195|Columna ensanchándose en el centro|30-7-1999|Polacco, Ferruccio|Argentina|Acero inoxidable|195.jpg|Güemes 800|-27.445637,-58.978626||||
196|Madre nuestra|16-7-1999|Preminger, Tanya|Israel|Mármol travertino|196.jpg|Marcelo T. De Alvear 999|-27.442573,-58.994487|Premio Consalud - Primera Bienal Internacional de Escultura|||
